text,crowdflower_detail,annotator_vote,annotator_num,negative_crowdflower,negative_self_label,distortion_yn,quote,magnitude,distortion.category,Positive,Negative,userid
": had lovely meal with Faseeha Hussain and Sarah Pearce, and an additional surprise of seeing Rima Gehlot and Elvina Christopher!! Great to see you :D xx",mixed,0,3,no,No,no,,NA,,3,-1,39b2af957c2488970cb89c161b6bf94e
": I've seen angels fall from blinding heights, but you yourself are nothing so divine. Just next in line",mixed,0,3,yes,No,no,,NA,,2,-2,39b2af957c2488970cb89c161b6bf94e
": I've seen angels fall from blinding heights, but you yourself are nothing so divine. Just next in line",no,0,3,yes,No,no,,NA,,2,-2,39b2af957c2488970cb89c161b6bf94e
": I've seen angels fall from blinding heights, but you yourself are nothing so divine. Just next in line",yes,3,3,yes,No,no,,NA,,2,-2,39b2af957c2488970cb89c161b6bf94e
: in the morning and what am doing? Helping one of my best friends with their summer homework -.- Funnnn sometimes hate being smart :P lol,mixed,0,3,yes,No,no,,NA,,3,-3,8c393982479748c5a53acaa7a3717c71
: in the morning and what am doing? Helping one of my best friends with their summer homework -.- Funnnn sometimes hate being smart :P lol,no,0,3,yes,No,no,,NA,,3,-3,8c393982479748c5a53acaa7a3717c71
: in the morning and what am doing? Helping one of my best friends with their summer homework -.- Funnnn sometimes hate being smart :P lol,yes,3,3,yes,No,no,,NA,,3,-3,8c393982479748c5a53acaa7a3717c71
: it isn't everyday that you get to have conversation with pirate and prophet- come- catholic- come- nun :),no,2,4,no,No,no,,NA,,2,-1,39b2af957c2488970cb89c161b6bf94e
: it isn't everyday that you get to have conversation with pirate and prophet- come- catholic- come- nun :),mixed,0,4,no,No,no,,NA,,2,-1,39b2af957c2488970cb89c161b6bf94e
: it isn't everyday that you get to have conversation with pirate and prophet- come- catholic- come- nun :),yes,2,4,no,No,no,,NA,,2,-1,39b2af957c2488970cb89c161b6bf94e
": oh bed... oh warm, loving and comfortable bed... shall one day write you sonnet but not now, want to sleep ??)",yes,3,3,yes,No,no,,NA,,4,-1,39b2af957c2488970cb89c161b6bf94e
": oh bed... oh warm, loving and comfortable bed... shall one day write you sonnet but not now, want to sleep ??)",no,0,3,yes,No,no,,NA,,4,-1,39b2af957c2488970cb89c161b6bf94e
": oh bed... oh warm, loving and comfortable bed... shall one day write you sonnet but not now, want to sleep ??)",mixed,0,3,yes,No,no,,NA,,4,-1,39b2af957c2488970cb89c161b6bf94e
": should really start going to my lectures or not walking out half way through, however seeing kingfisher really made my day :)",no,0,3,yes,No,no,,NA,,1,-1,39b2af957c2488970cb89c161b6bf94e
": should really start going to my lectures or not walking out half way through, however seeing kingfisher really made my day :)",yes,3,3,yes,No,no,,NA,,1,-1,39b2af957c2488970cb89c161b6bf94e
": should really start going to my lectures or not walking out half way through, however seeing kingfisher really made my day :)",mixed,0,3,yes,No,no,,NA,,1,-1,39b2af957c2488970cb89c161b6bf94e
: this practical is pointless... no one knows what they are doing and the lecturer doesn't make sense!,no,1,3,yes,yes,no,,3,,2,-2,39b2af957c2488970cb89c161b6bf94e
: this practical is pointless... no one knows what they are doing and the lecturer doesn't make sense!,mixed,0,3,yes,yes,no,,3,,2,-2,39b2af957c2488970cb89c161b6bf94e
: this practical is pointless... no one knows what they are doing and the lecturer doesn't make sense!,yes,2,3,yes,yes,no,,3,,2,-2,39b2af957c2488970cb89c161b6bf94e
": when life starts giving you lemons sometimes it's good to throw them back, other times it's better to pick them up and walk away (and make cake)",yes,3,3,yes,No,no,,NA,,3,-1,39b2af957c2488970cb89c161b6bf94e
": when life starts giving you lemons sometimes it's good to throw them back, other times it's better to pick them up and walk away (and make cake)",mixed,0,3,yes,No,no,,NA,,3,-1,39b2af957c2488970cb89c161b6bf94e
": when life starts giving you lemons sometimes it's good to throw them back, other times it's better to pick them up and walk away (and make cake)",no,0,3,yes,No,no,,NA,,3,-1,39b2af957c2488970cb89c161b6bf94e
":: ahh finals week: papers due, finals, poster presentation, group conference, respite care, neuro-psych results, plus the /normal/"" weekly activities.....is it Saturday yet?? :-|""",no,0,3,yes,yes,no,,3,,2,-1,cb02460576e27f95654a9a0ef548fe5b
":: ahh finals week: papers due, finals, poster presentation, group conference, respite care, neuro-psych results, plus the /normal/"" weekly activities.....is it Saturday yet?? :-|""",mixed,0,3,yes,yes,no,,3,,2,-1,cb02460576e27f95654a9a0ef548fe5b
":: ahh finals week: papers due, finals, poster presentation, group conference, respite care, neuro-psych results, plus the /normal/"" weekly activities.....is it Saturday yet?? :-|""",yes,3,3,yes,yes,no,,3,,2,-1,cb02460576e27f95654a9a0ef548fe5b
?? of vouchers for churchills and the promiss that the package in the post office is footed bunny PJ's,mixed,0,3,no,No,no,,NA,,2,-1,2549774d68d7ccbcba069afb45c7e237
?? of vouchers for churchills and the promiss that the package in the post office is footed bunny PJ's,yes,1,3,no,No,no,,NA,,2,-1,2549774d68d7ccbcba069afb45c7e237
?? of vouchers for churchills and the promiss that the package in the post office is footed bunny PJ's,no,2,3,no,No,no,,NA,,2,-1,2549774d68d7ccbcba069afb45c7e237
"??la fantasia pu?? portare male se non si conosce bene come domarla, ma costa poco, val quel che vale, nessuno ti pu?? pi?? impedire di adoperarla??",yes,1,3,no,No,no,,NA,,1,-1,3aac76fd5c5b0115f67dfcfe3850cf7c
"??la fantasia pu?? portare male se non si conosce bene come domarla, ma costa poco, val quel che vale, nessuno ti pu?? pi?? impedire di adoperarla??",mixed,0,3,no,No,no,,NA,,1,-1,3aac76fd5c5b0115f67dfcfe3850cf7c
"??la fantasia pu?? portare male se non si conosce bene come domarla, ma costa poco, val quel che vale, nessuno ti pu?? pi?? impedire di adoperarla??",no,2,3,no,No,no,,NA,,1,-1,3aac76fd5c5b0115f67dfcfe3850cf7c
"?"" Yesterday is gone. Tomorrow has not yet come. We have only today. Let us begin. ?"" - Mother Teresa ( ?- )",no,3,3,no,No,no,,NA,,1,-1,dcbe08425f5edef5e5c1053f21e83640
"?"" Yesterday is gone. Tomorrow has not yet come. We have only today. Let us begin. ?"" - Mother Teresa ( ?- )",mixed,0,3,no,No,no,,NA,,1,-1,dcbe08425f5edef5e5c1053f21e83640
"?"" Yesterday is gone. Tomorrow has not yet come. We have only today. Let us begin. ?"" - Mother Teresa ( ?- )",yes,0,3,no,No,no,,NA,,1,-1,dcbe08425f5edef5e5c1053f21e83640
"?""Smile and others will smile back. Smile to show how transparent, how candid you are. Smile if you have nothing to say. Most of all, do not hide the fact you have nothing to say nor your total indifference to others. Let this emptiness, this profound indifference shine out spontaneously in your smile.?"" Jean Baudrillard",mixed,0,3,no,No,no,,NA,,3,-3,cfb021cfbff46ffdb75c7dcafe7c2087
"?""Smile and others will smile back. Smile to show how transparent, how candid you are. Smile if you have nothing to say. Most of all, do not hide the fact you have nothing to say nor your total indifference to others. Let this emptiness, this profound indifference shine out spontaneously in your smile.?"" Jean Baudrillard",yes,0,3,no,No,no,,NA,,3,-3,cfb021cfbff46ffdb75c7dcafe7c2087
"?""Smile and others will smile back. Smile to show how transparent, how candid you are. Smile if you have nothing to say. Most of all, do not hide the fact you have nothing to say nor your total indifference to others. Let this emptiness, this profound indifference shine out spontaneously in your smile.?"" Jean Baudrillard",no,3,3,no,No,no,,NA,,3,-3,cfb021cfbff46ffdb75c7dcafe7c2087
"?""Sometimes think the surest sign that intelligent life exists elsewhere in the universe is that none of it has tried to contact us.?""",yes,0,3,no,No,no,,NA,,2,-1,3ac58ad39d81acfe169aadc4815effe6
"?""Sometimes think the surest sign that intelligent life exists elsewhere in the universe is that none of it has tried to contact us.?""",mixed,0,3,no,No,no,,NA,,2,-1,3ac58ad39d81acfe169aadc4815effe6
"?""Sometimes think the surest sign that intelligent life exists elsewhere in the universe is that none of it has tried to contact us.?""",no,3,3,no,No,no,,NA,,2,-1,3ac58ad39d81acfe169aadc4815effe6
"?""Work like you don't need the money, love like your heart has never been broken, and dance like no one is watching?"" __ Aurora Greenway",mixed,0,3,no,No,no,,NA,,3,-3,009d96a823b6f6c085c092fb177491f6
"?""Work like you don't need the money, love like your heart has never been broken, and dance like no one is watching?"" __ Aurora Greenway",yes,1,3,no,No,no,,NA,,3,-3,009d96a823b6f6c085c092fb177491f6
"?""Work like you don't need the money, love like your heart has never been broken, and dance like no one is watching?"" __ Aurora Greenway",no,2,3,no,No,no,,NA,,3,-3,009d96a823b6f6c085c092fb177491f6
"... notifications, all from Carolina Barros commenting and liking everything on my profile to spam the heck out of me. Wow... thanks. XD",mixed,0,3,yes,No,no,,NA,,3,-2,7959e48a5c9869a5eb172935f082daa4
"... notifications, all from Carolina Barros commenting and liking everything on my profile to spam the heck out of me. Wow... thanks. XD",no,0,3,yes,No,no,,NA,,3,-2,7959e48a5c9869a5eb172935f082daa4
"... notifications, all from Carolina Barros commenting and liking everything on my profile to spam the heck out of me. Wow... thanks. XD",yes,3,3,yes,No,no,,NA,,3,-2,7959e48a5c9869a5eb172935f082daa4
"...during the silences of practice, between the buzzing and the ringing and yelling of obscenities. xD",no,0,3,yes,No,no,,NA,,1,-1,ca4591994c00795feecfdf8c5d96d6c9
"...during the silences of practice, between the buzzing and the ringing and yelling of obscenities. xD",yes,3,3,yes,No,no,,NA,,1,-1,ca4591994c00795feecfdf8c5d96d6c9
"...during the silences of practice, between the buzzing and the ringing and yelling of obscenities. xD",mixed,0,3,yes,No,no,,NA,,1,-1,ca4591994c00795feecfdf8c5d96d6c9
"...ok, no longer emo...again. completely pissed and miserable all day because of some stupid error in communication...forgive me for that scolding, max!",no,0,3,yes,yes,yes,,4,negative filter,3,-4,b57dcbe1b484eb302cb9da59bf83f6a2
"...ok, no longer emo...again. completely pissed and miserable all day because of some stupid error in communication...forgive me for that scolding, max!",mixed,0,3,yes,yes,yes,,4,negative filter,3,-4,b57dcbe1b484eb302cb9da59bf83f6a2
"...ok, no longer emo...again. completely pissed and miserable all day because of some stupid error in communication...forgive me for that scolding, max!",yes,3,3,yes,yes,yes,,4,negative filter,3,-4,b57dcbe1b484eb302cb9da59bf83f6a2
"(Reposted from friend) Has your facebook been slow recently? Some one else found this & have found it on mine, not sure where it's from ---- To check your application settiings, go to Settings, select /application settings/""",no,0,3,yes,No,no,,NA,,2,-1,a060ba39cf74d8b9f97354e3f83df67a
"(Reposted from friend) Has your facebook been slow recently? Some one else found this & have found it on mine, not sure where it's from ---- To check your application settiings, go to Settings, select /application settings/""",yes,3,3,yes,No,no,,NA,,2,-1,a060ba39cf74d8b9f97354e3f83df67a
"(Reposted from friend) Has your facebook been slow recently? Some one else found this & have found it on mine, not sure where it's from ---- To check your application settiings, go to Settings, select /application settings/""",mixed,0,3,yes,No,no,,NA,,2,-1,a060ba39cf74d8b9f97354e3f83df67a
"*...you know, you can't go on * thinking * nothing's wrong * who's gonna drive you home * tonight..?*",mixed,0,3,yes,No,no,,NA,,1,-2,cf5a3f66c42918587a1428a6f7d7eec9
"*...you know, you can't go on * thinking * nothing's wrong * who's gonna drive you home * tonight..?*",yes,3,3,yes,No,no,,NA,,1,-2,cf5a3f66c42918587a1428a6f7d7eec9
"*...you know, you can't go on * thinking * nothing's wrong * who's gonna drive you home * tonight..?*",no,0,3,yes,No,no,,NA,,1,-2,cf5a3f66c42918587a1428a6f7d7eec9
"***warning*** the national weather service has issued falling bird warning for chicago this sunday from until the end of the th qtr. Falling seahawks could be heavy at times especially around the soilder field area. Heavy accumulation likely!! **repost this all over bears nation, we are everywhere!!!**",mixed,0,3,yes,yes,no,,3,,2,-1,29cda473b52e1c75fbfe958ed3aec565
"***warning*** the national weather service has issued falling bird warning for chicago this sunday from until the end of the th qtr. Falling seahawks could be heavy at times especially around the soilder field area. Heavy accumulation likely!! **repost this all over bears nation, we are everywhere!!!**",no,0,3,yes,yes,no,,3,,2,-1,29cda473b52e1c75fbfe958ed3aec565
"***warning*** the national weather service has issued falling bird warning for chicago this sunday from until the end of the th qtr. Falling seahawks could be heavy at times especially around the soilder field area. Heavy accumulation likely!! **repost this all over bears nation, we are everywhere!!!**",yes,3,3,yes,yes,no,,3,,2,-1,29cda473b52e1c75fbfe958ed3aec565
*almost asleep* *phone vibrates* ARE YOU FREAKING KIDDING ME RIGHT NOW!? MEAN SERIOUS--Oh. It's you. ?,yes,3,3,yes,No,no,,NA,,1,-3,6262f9ea246e00408561aa9a73c49175
*almost asleep* *phone vibrates* ARE YOU FREAKING KIDDING ME RIGHT NOW!? MEAN SERIOUS--Oh. It's you. ?,no,0,3,yes,No,no,,NA,,1,-3,6262f9ea246e00408561aa9a73c49175
*almost asleep* *phone vibrates* ARE YOU FREAKING KIDDING ME RIGHT NOW!? MEAN SERIOUS--Oh. It's you. ?,mixed,0,3,yes,No,no,,NA,,1,-3,6262f9ea246e00408561aa9a73c49175
"*FACEDESKFACEDESKFACEDESK* Jenn Eunjung Choi AND Joy Seohyun Jeon, YOU GUYS HAVE DIRTY MINDS. GO SEX TALK ON EACH OTHERS' WALLS.",mixed,0,3,yes,No,no,,NA,,1,-2,2a9b90b41e9399bb331fef2582f657c3
"*FACEDESKFACEDESKFACEDESK* Jenn Eunjung Choi AND Joy Seohyun Jeon, YOU GUYS HAVE DIRTY MINDS. GO SEX TALK ON EACH OTHERS' WALLS.",yes,2,3,yes,No,no,,NA,,1,-2,2a9b90b41e9399bb331fef2582f657c3
"*FACEDESKFACEDESKFACEDESK* Jenn Eunjung Choi AND Joy Seohyun Jeon, YOU GUYS HAVE DIRTY MINDS. GO SEX TALK ON EACH OTHERS' WALLS.",no,1,3,yes,No,no,,NA,,1,-2,2a9b90b41e9399bb331fef2582f657c3
*NOAA Issue Date: // // : AM ...Winter Storm Watch upgraded to Winter Storm Warning...in effect from Pm this afternoon to Pm Pdt Monday above feet for the south Washington and north and central Oregon Cascades... Helllll ya!,no,2,3,no,No,no,,NA,,1,-4,2af06a0d2c453ef4340280ae57348351
*NOAA Issue Date: // // : AM ...Winter Storm Watch upgraded to Winter Storm Warning...in effect from Pm this afternoon to Pm Pdt Monday above feet for the south Washington and north and central Oregon Cascades... Helllll ya!,yes,1,3,no,No,no,,NA,,1,-4,2af06a0d2c453ef4340280ae57348351
*NOAA Issue Date: // // : AM ...Winter Storm Watch upgraded to Winter Storm Warning...in effect from Pm this afternoon to Pm Pdt Monday above feet for the south Washington and north and central Oregon Cascades... Helllll ya!,mixed,0,3,no,No,no,,NA,,1,-4,2af06a0d2c453ef4340280ae57348351
*playing cards* lavi: dang it allen how do you always win! *kanda hits allen on top of his head* allen : what was that for!? me: you cheated,yes,1,3,no,No,no,,NA,,3,-3,cd86d1e6d68c3770eaec0db419dceb2f
*playing cards* lavi: dang it allen how do you always win! *kanda hits allen on top of his head* allen : what was that for!? me: you cheated,mixed,0,3,no,No,no,,NA,,3,-3,cd86d1e6d68c3770eaec0db419dceb2f
*playing cards* lavi: dang it allen how do you always win! *kanda hits allen on top of his head* allen : what was that for!? me: you cheated,no,2,3,no,No,no,,NA,,3,-3,cd86d1e6d68c3770eaec0db419dceb2f
"*Reality strikes again. Helpless, you watch as it crushes your dreams and aspirations, pummeling them into the asphalt with thundering strokes. Black hands of depression snake around your throat and sinister smirk longs to plant the kiss of death on your-* What? Oh, yeah. My guests left and have to go back to work now.",yes,3,3,yes,yes,no,,3,,3,-4,82e932005d8c94bb93bcb54fa19f421c
"*Reality strikes again. Helpless, you watch as it crushes your dreams and aspirations, pummeling them into the asphalt with thundering strokes. Black hands of depression snake around your throat and sinister smirk longs to plant the kiss of death on your-* What? Oh, yeah. My guests left and have to go back to work now.",no,0,3,yes,yes,no,,3,,3,-4,82e932005d8c94bb93bcb54fa19f421c
"*Reality strikes again. Helpless, you watch as it crushes your dreams and aspirations, pummeling them into the asphalt with thundering strokes. Black hands of depression snake around your throat and sinister smirk longs to plant the kiss of death on your-* What? Oh, yeah. My guests left and have to go back to work now.",mixed,0,3,yes,yes,no,,3,,3,-4,82e932005d8c94bb93bcb54fa19f421c
"/.../"" /""your face!!/"" *WHACK* /""OW!...my face.../"" hahhaa me nd talen!!! ps it was me who was whacked...""",mixed,0,3,no,No,no,,NA,,3,-3,e3dcf659fccb761dea63a62609a9bbd9
"/.../"" /""your face!!/"" *WHACK* /""OW!...my face.../"" hahhaa me nd talen!!! ps it was me who was whacked...""",yes,1,3,no,No,no,,NA,,3,-3,e3dcf659fccb761dea63a62609a9bbd9
"/.../"" /""your face!!/"" *WHACK* /""OW!...my face.../"" hahhaa me nd talen!!! ps it was me who was whacked...""",no,2,3,no,No,no,,NA,,3,-3,e3dcf659fccb761dea63a62609a9bbd9
// Because have shared with enough people now that might as well just go all the way. It feels good.,mixed,0,3,yes,No,no,,NA,,3,-1,e076953cd3fcf8927b8f21574c0890f3
// Because have shared with enough people now that might as well just go all the way. It feels good.,no,0,3,yes,No,no,,NA,,3,-1,e076953cd3fcf8927b8f21574c0890f3
// Because have shared with enough people now that might as well just go all the way. It feels good.,yes,3,3,yes,No,no,,NA,,3,-1,e076953cd3fcf8927b8f21574c0890f3
/All living beings place their faith in someone more powerful than them and they can't survive unless they blindly follow him. The recipient seeks someone in an even higher position to escape the pressure. They then seek someone even more powerful to put his faith in. In this way,mixed,0,3,no,No,no,,NA,,2,-2,61e7f6145fd03d709cabbde3faf33412
/All living beings place their faith in someone more powerful than them and they can't survive unless they blindly follow him. The recipient seeks someone in an even higher position to escape the pressure. They then seek someone even more powerful to put his faith in. In this way,no,2,3,no,No,no,,NA,,2,-2,61e7f6145fd03d709cabbde3faf33412
/All living beings place their faith in someone more powerful than them and they can't survive unless they blindly follow him. The recipient seeks someone in an even higher position to escape the pressure. They then seek someone even more powerful to put his faith in. In this way,yes,1,3,no,No,no,,NA,,2,-2,61e7f6145fd03d709cabbde3faf33412
"/And that guy's obviously fantasising about his boyfriend. can tell from that little smile he's doing./"" /""That's not telepathy",no,0,3,yes,No,no,,NA,,3,-1,eaeabcfe25866f0455d349bae2450d88
